TaskID,StationID,Team,Start,End,Duration
0,1,[38],0.0,0.0,0.0
0,1,[38],0.0,0.0,0.0
1,0,[],0.0,0.0,0.0
27,2,"[4, 71]",0.0,54.3886830706467,54.3886830706467
27,2,"[4, 71]",0.0,54.3886830706467,54.3886830706467
26,3,"[91, 65]",0.0,7.798973704503158,7.798973704503158
26,3,"[91, 65]",0.0,7.798973704503158,7.798973704503158
5,1,"[40, 32]",0.0,3.6628590587893486,3.6628590587893486
5,1,"[40, 32]",0.0,3.6628590587893486,3.6628590587893486
28,4,"[81, 51]",0.0,3.4295915942835897,3.4295915942835897
28,4,"[81, 51]",0.0,3.4295915942835897,3.4295915942835897
3,1,"[93, 18]",0.0,3.211317207623957,3.211317207623957
3,1,"[93, 18]",0.0,3.211317207623957,3.211317207623957
4,1,"[77, 75]",3.211317207623957,5.479826458620591,2.2685092509966345
4,1,"[77, 75]",3.211317207623957,5.479826458620591,2.2685092509966345
14,5,"[29, 50]",0.0,2.2343167932842953,2.2343167932842953
14,5,"[29, 50]",0.0,2.2343167932842953,2.2343167932842953
17,2,"[59, 0]",0.0,2.2211883474451026,2.2211883474451026
17,2,"[59, 0]",0.0,2.2211883474451026,2.2211883474451026
30,2,"[66, 19]",2.2211883474451026,4.0576692433529225,1.8364808959078198
30,2,"[66, 19]",2.2211883474451026,4.0576692433529225,1.8364808959078198
10,3,"[15, 33]",0.0,1.371486473965055,1.371486473965055
10,3,"[15, 33]",0.0,1.371486473965055,1.371486473965055
12,3,"[42, 21]",1.371486473965055,2.997012228988881,1.625525755023826
12,3,"[42, 21]",1.371486473965055,2.997012228988881,1.625525755023826
25,4,"[5, 70]",0.0,1.1247713150539194,1.1247713150539194
25,4,"[5, 70]",0.0,1.1247713150539194,1.1247713150539194
6,4,"[27, 87]",1.1247713150539194,2.3031370077610984,1.178365692707179
6,4,"[27, 87]",1.1247713150539194,2.3031370077610984,1.178365692707179
8,5,"[1, 13]",0.0,1.0809749330184948,1.0809749330184948
8,5,"[1, 13]",0.0,1.0809749330184948,1.0809749330184948
24,5,"[47, 78]",1.0809749330184948,2.0840820138516873,1.0031070808331926
24,5,"[47, 78]",1.0809749330184948,2.0840820138516873,1.0031070808331926
9,5,"[22, 35]",2.0840820138516873,3.5831033732495534,1.499021359397866
9,5,"[22, 35]",2.0840820138516873,3.5831033732495534,1.499021359397866
20,4,"[12, 53]",2.3031370077610984,3.4546101475534594,1.151473139792361
20,4,"[12, 53]",2.3031370077610984,3.4546101475534594,1.151473139792361
11,3,"[91, 65]",7.798973704503158,9.06748146896974,1.268507764466582
11,3,"[91, 65]",7.798973704503158,9.06748146896974,1.268507764466582
23,5,"[29, 50]",2.2343167932842953,3.362321377909628,1.1280045846253328
23,5,"[29, 50]",2.2343167932842953,3.362321377909628,1.1280045846253328
29,2,"[19, 0]",4.0576692433529225,5.111792179092035,1.0541229357391124
29,2,"[19, 0]",4.0576692433529225,5.111792179092035,1.0541229357391124
15,5,"[29, 50]",3.362321377909628,3.9805546747866,0.6182332968769719
15,5,"[29, 50]",3.362321377909628,3.9805546747866,0.6182332968769719
7,4,"[81, 51]",3.4295915942835897,4.647999171164875,1.218407576881285
7,4,"[81, 51]",3.4295915942835897,4.647999171164875,1.218407576881285
13,3,"[91, 65]",9.06748146896974,10.335989233436322,1.268507764466582
13,3,"[91, 65]",9.06748146896974,10.335989233436322,1.268507764466582
2,1,"[38, 93]",3.6628590587893486,5.760415810230517,2.097556751441169
2,1,"[38, 93]",3.6628590587893486,5.760415810230517,2.097556751441169
18,5,"[29, 50]",3.9805546747866,4.5987879716635724,0.6182332968769724
18,5,"[29, 50]",3.9805546747866,4.5987879716635724,0.6182332968769724
21,4,"[81, 51]",4.647999171164875,6.922359923962335,2.2743607527974605
21,4,"[81, 51]",4.647999171164875,6.922359923962335,2.2743607527974605
16,5,"[29, 50]",4.5987879716635724,6.063024771657924,1.4642367999943513
16,5,"[29, 50]",4.5987879716635724,6.063024771657924,1.4642367999943513
19,5,"[29, 50]",6.063024771657924,7.527261571652275,1.4642367999943513
19,5,"[29, 50]",6.063024771657924,7.527261571652275,1.4642367999943513
22,4,"[81, 51]",6.922359923962335,7.4909501121617,0.5685901881993649
22,4,"[81, 51]",6.922359923962335,7.4909501121617,0.5685901881993649
31,0,[],54.3886830706467,54.3886830706467,0.0
105,2,[4],54.3886830706467,60.539637829743974,6.150954759097274
105,2,[4],54.3886830706467,60.539637829743974,6.150954759097274
59,2,[71],54.3886830706467,60.40424789993139,6.015564829284692
59,2,[71],54.3886830706467,60.40424789993139,6.015564829284692
60,2,[71],60.40424789993139,66.41981272921608,6.015564829284685
60,2,[71],60.40424789993139,66.41981272921608,6.015564829284685
58,1,[38],54.3886830706467,60.27855137404649,5.889868303399794
58,1,[38],54.3886830706467,60.27855137404649,5.889868303399794
55,1,[32],54.3886830706467,58.55487568760318,4.166192616956479
55,1,[32],54.3886830706467,58.55487568760318,4.166192616956479
56,1,[38],60.27855137404649,65.03575265447728,4.757201280430785
56,1,[38],60.27855137404649,65.03575265447728,4.757201280430785
